Policy Area,Dataset,Variable,Year,Count,Tract,Tract Number,Neighborhood,GEOID,Location,Row ID,Date
Environment,Water Quality,Drinking Water Contaminants,2017,534.4346157,"Census Tract 4059, Los Angeles County, California",405900,Covina,1400000US06037405900,"(34.103067, -117.8901905)",Drinking_Water_Contaminants_2017_1400000US06037405900,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,585.0670503,"Census Tract 4060, Los Angeles County, California",406000,Covina,1400000US06037406000,"(34.08987, -117.8989325)",Drinking_Water_Contaminants_2017_1400000US06037406000,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,355.8894245,"Census Tract 4061.01, Los Angeles County, California",406101,Covina,1400000US06037406101,"(34.090927, -117.8901515)",Drinking_Water_Contaminants_2017_1400000US06037406101,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,355.8894245,"Census Tract 4061.02, Los Angeles County, California",406102,Covina,1400000US06037406102,"(34.080762, -117.8901315)",Drinking_Water_Contaminants_2017_1400000US06037406102,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,830.3153692,"Census Tract 4062, Los Angeles County, California",406200,Covina,1400000US06037406200,"(34.0790655, -117.8944835)",Drinking_Water_Contaminants_2017_1400000US06037406200,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,807.7559606,"Census Tract 4063, Los Angeles County, California",406300,West Covina,1400000US06037406300,"(34.058745, -117.87651)",Drinking_Water_Contaminants_2017_1400000US06037406300,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4064.02, Los Angeles County, California",406402,West Covina,1400000US06037406402,"(34.0574215, -117.8990455)",Drinking_Water_Contaminants_2017_1400000US06037406402,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4064.11, Los Angeles County, California",406411,West Covina,1400000US06037406411,"(34.0687605, -117.8988995)",Drinking_Water_Contaminants_2017_1400000US06037406411,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,810.5426594,"Census Tract 4064.12, Los Angeles County, California",406412,West Covina,1400000US06037406412,"(34.0649545, -117.898946)",Drinking_Water_Contaminants_2017_1400000US06037406412,1/1/17
Environment,Water Quality,Drinking Water Contaminants,2017,811.578849,"Census Tract 4065, Los Angeles County, California",406500,West Covina,1400000US06037406500,"(34.0666225, -117.919599)",Drinking_Water_Contaminants_2017_1400000US06037406500,1/1/17
